"CAN","AB","Alberta"
"USA","AK","Alaska"
"USA","AL","Alabama"
"USA","AR","Arkansas"
"USA","AZ","Arizona"
"CAN","BC","British Columbia"
"USA","CA","California"
"USA","CO","Colorado"
"USA","CT","Connecticut"
"USA","DE","Delaware"
"USA","FL","Florida"
"USA","GA","Georgia"
"USA","HI","Hawaii"
"USA","IA","Iowa"
"USA","ID","Idaho"
"USA","IL","Illinois"
"USA","IN","Indiana"
"USA","KS","Kansas"
"USA","KY","Kentucky"
"USA","LA","Louisiana"
"USA","MA","Massachusetts"
"CAN","MB","Manitoba"
"USA","MD","Maryland"
"USA","ME","Maine"
"USA","MI","Michigan"
"USA","MN","Minnesota"
"USA","MO","Missouri"
"USA","MS","Mississippi"
"USA","MT","Montana"
"CAN","NB","New Brunswick"
"USA","NC","North Carolina"
"USA","ND","North Dakota"
"USA","NE","Nebraska"
"USA","NH","New Hampshire"
"USA","NJ","New Jersey"
"CAN","NL","Newfoundland-
Labrador"
"USA","NM","New Mexico"
"CAN","NS","Nova Scotia"
"USA","NV","Nevada"
"USA","NY","New York"
"USA","OH","Ohio"
"USA","OK","Oklahoma"
"CAN","ON","Ontario"
"USA","OR","Oregon"
"USA","PA","Pennsylvania"
"CAN","PE","Prince Edward Island"
"CAN","QC","Quebec"
"USA","RI","Rhode Island"
"USA","SC","South Carolina"
"USA","SD","South Dakota"
"CAN","SK","Saskatchewan"
"USA","TN","Tennessee"
"USA","TX","Texas"
"USA","UT","Utah"
"USA","VA","Virginia"
"USA","VT","Vermont"
"USA","WA","Washington"
"USA","WI","Wisconsin"
"USA","WV","West Virginia"
"USA","WY","Wyoming"
